18-08-2021 02:41:45
Mouse:(531.0, 90.0) L: false R: false U: false D: false Player Location: (0.0, 10.0, 0.0) Camera Direction: (-0.44721362, 0.0, -0.8944272)
Mouse:(-19.0, 26.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.916668, -5.892616E-5) Camera Direction: (-0.46358207, 0.0253879, -0.8856902)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.700002, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.541669, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.450003, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.450003, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.450003, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.450003, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.450003, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.350003, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.350003, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.350003, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.350003, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.350003, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.350003, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.350003, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.350003, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.24167, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.125003, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
Mouse:(-20.0, 27.0) L: false R: false U: false D: false Player Location: (-2.4999766, 9.125003, -5.892616E-5) Camera Direction: (-0.464435, 0.026364133, -0.8852147)
