30-08-2021 05:06:49
Mouse:(556.0, 92.0) L: false R: false U: false D: false Player Location: (20.0, 10.0, 20.0) Camera Direction: (0.0, 0.0, 1.0)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.916668, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.700002, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.541669, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.450003, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.350003, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.350003, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.350003, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.350003, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.350003, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.350003, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.350003, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.350003, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.350003, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.350003, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.350003, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.350003, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.350003, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.24167, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.24167, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.24167, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.24167, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.24167, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.24167, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.24167, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.24167, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.24167, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.24167, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.24167, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.24167, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.24167, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.24167, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.24167, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 4.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.00390624, 0.9999924)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.125003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.000003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.000003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
Mouse:(0.0, 5.0) L: false R: false U: false D: false Player Location: (20.0, 9.000003, 20.0) Camera Direction: (0.0, 0.004882793, 0.9999881)
